nChunks,METEOR,BLEU,BERT,ROUGE,OVERLAP,OVERLAPE,TEMPS
0,0.2590216456569997,0.0213915032417976,0.3643049382716047,0.0765127396576912,0.7099506172839505,0.2994506172839506,308.3339879071271
1,0.2513307159868621,0.0216640537902226,0.3688524390243904,0.0787895121042103,0.7348487804878049,0.3292682926829268,315.68466369989443
2,0.2594296675925845,0.0234112353585396,0.3647234567901234,0.0759388071522406,0.7634185185185186,0.3531753086419752,315.830115503735
3,0.2685681559318933,0.024262947385894,0.3620378048780488,0.0755068063602202,0.7884280487804878,0.3726634146341463,316.7865674960904
4,0.2536145247465537,0.0231577442880416,0.3665049999999998,0.0732454933866501,0.7820100000000001,0.31828875,316.6369395285845
5,0.2663760438307563,0.0216705496941021,0.3619337500000002,0.075637614288344,0.8012162500000001,0.3272937499999999,317.9126617401838
6,0.26858292835301106,0.02451158858934077,0.36861341463414626,0.07822029239118927,0.824639024390244,0.3985292682926829,316.6302907437813
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
